date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2015-12-23,275.91,279.06,274.4,278.35,278.35,351006,351006,2.44,0.88435,277.92,"December 23, 15",0.0088435
2015-12-22,270.62,275.93,269.58,273.7,273.7,254198,254198,3.08,1.14,273.21,"December 22, 15",0.0114
2015-12-21,269.61,270.65,267.24,270.53,270.53,264646,264646,0.92,0.34123,269.32,"December 21, 15",0.0034123
2015-12-18,267.92,270.02,265.26,266.94,266.94,616884,616884,-0.98,-0.36578,267.42,"December 18, 15",-0.0036578
2015-12-17,275.23,277.59,268.765,269.06,269.06,333078,333078,-6.17,-2.24,271.76,"December 17, 15",-0.0224
2015-12-16,270.4,273.91,268.45,273.3,273.3,330166,330166,2.9,1.07,271.31,"December 16, 15",0.0107
2015-12-15,271.55,272.67,266.12,267.99,267.99,475807,475807,-3.56,-1.31,268.37,"December 15, 15",-0.0131
2015-12-14,267.88,270.27,265.08,269.99,269.99,468062,468062,2.11,0.78767,268.88,"December 14, 15",0.0078767
2015-12-11,275.43,278.16,266.37,268.1,268.1,714071,714071,-7.33,-2.66,269.29,"December 11, 15",-0.0266
2015-12-10,281.02,282.995,278.91,280.16,280.16,258692,258692,-0.86,-0.30603,280.8,"December 10, 15",-0.0030603
2015-12-09,280.38,284.96,278.09,280.09,280.09,322687,322687,-0.29,-0.10343,280.53,"December 09, 15",-0.0010343
2015-12-08,280.3,283.61,279.54,282.15,282.15,355913,355913,1.85,0.66001,281.74,"December 08, 15",0.0066001
2015-12-07,282.59,284.39,281.075,282.86,282.86,283600,283600,0.27,0.09554478,282.83,"December 07, 15",0.0009554478
2015-12-04,281.25,284.46,279.52,284.22,284.22,468728,468728,2.97,1.06,282.27,"December 04, 15",0.0106
2015-12-03,286.39,288.0799,279.81,281.25,281.25,304427,304427,-5.14,-1.79,282.41,"December 03, 15",-0.0179
2015-12-02,288.11,289.74,284.81,285.37,285.37,345203,345203,-2.74,-0.95103,286.79,"December 02, 15",-0.0095103
2015-12-01,287.38,290.3,286.36,289.16,289.16,273602,273602,1.78,0.61939,288.36,"December 01, 15",0.0061939
2015-11-30,286.72,287.79,284.19,286.85,286.85,286778,286778,0.13,0.0453404,286.44,"November 30, 15",0.000453404
2015-11-27,286.33,287.44,284.0,285.53,285.53,94862,94862,-0.8,-0.2794,285.36,"November 27, 15",-0.002794
2015-11-25,288.37,288.59,283.59,286.4,286.4,163121,163121,-1.97,-0.68315,286.52,"November 25, 15",-0.0068315
2015-11-24,283.02,285.93,281.01,285.45,285.45,241355,241355,2.43,0.8586,284.45,"November 24, 15",0.008586
2015-11-23,286.74,287.13,285.0,285.66,285.66,191388,191388,-1.08,-0.37665,285.79,"November 23, 15",-0.0037665
2015-11-20,287.51,287.95,285.27,286.61,286.61,250000,250000,-0.9,-0.31303,286.69,"November 20, 15",-0.0031303
2015-11-19,287.27,288.77,284.5,286.07,286.07,276217,276217,-1.2,-0.41773,285.66,"November 19, 15",-0.0041773
2015-11-18,284.84,288.04,284.13,287.7,287.7,303491,303491,2.86,1.0,286.69,"November 18, 15",0.01
2015-11-17,287.75,288.57,283.8,284.49,284.49,525308,525308,-3.26,-1.13,285.61,"November 17, 15",-0.0113
2015-11-16,285.7,288.44,284.7,287.14,287.14,438201,438201,1.44,0.50403,286.58,"November 16, 15",0.0050403
2015-11-13,290.0,290.67,285.31,286.35,286.35,449431,449431,-3.65,-1.26,287.1,"November 13, 15",-0.0126
2015-11-12,293.13,294.55,290.82,290.82,290.82,423746,423746,-2.31,-0.78805,292.23,"November 12, 15",-0.0078805
2015-11-11,298.92,298.92,293.75,294.73,294.73,335176,335176,-4.19,-1.4,296.0,"November 11, 15",-0.014
2015-11-10,295.77,298.73,294.74,297.57,297.57,343336,343336,1.8,0.60858,297.2,"November 10, 15",0.0060858
2015-11-09,297.05,298.965,292.52,296.73,296.73,422770,422770,-0.32,-0.10773,295.19,"November 09, 15",-0.0010773
2015-11-06,300.96,301.78,295.03,297.95,297.95,347225,347225,-3.01,-1.0,297.86,"November 06, 15",-0.01
2015-11-05,300.83,301.85,298.46,299.11,299.11,439210,439210,-1.72,-0.57175,299.51,"November 05, 15",-0.0057175
2015-11-04,301.14,303.75,299.6401,301.87,301.87,448681,448681,0.73,0.24241,301.15,"November 04, 15",0.0024241
2015-11-03,297.65,302.24,293.87,300.59,300.59,404083,404083,2.94,0.98774,299.64,"November 03, 15",0.0098774
2015-11-02,296.19,301.11,296.19,298.42,298.42,332870,332870,2.23,0.7529,299.33,"November 02, 15",0.007529
2015-10-30,298.53,300.56,297.015,297.31,297.31,308974,308974,-1.22,-0.40867,298.54,"October 30, 15",-0.0040867
